,SubjectID,AssignmentID,ProblemID,Attempts,pProblemSyntaxError,pProblemSemanticError,pSubjectSyntaxError,pSubjectSemanticError,CorrectEventually,Label
0,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,1,1,0,0,0.633,0.333,True,True
1,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,3,4,1,1,0.633,0.333,True,True
2,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,5,3,2,2,0.633,0.333,True,True
3,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,12,1,3,3,0.633,0.333,True,True
4,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,13,6,4,4,0.633,0.333,True,True
5,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,232,3,5,5,0.633,0.333,True,True
6,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,233,7,6,6,0.633,0.333,True,False
7,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,234,1,7,7,0.633,0.333,True,True
8,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,235,1,8,8,0.633,0.333,True,True
9,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,236,11,9,9,0.633,0.333,True,False
10,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,17,1,10,10,0.633,0.333,True,True
11,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,20,1,11,11,0.633,0.333,True,True
12,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,21,2,12,12,0.633,0.333,True,True
13,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,22,1,13,13,0.633,0.333,True,True
14,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,24,2,14,14,0.633,0.333,True,True
15,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,25,5,15,15,0.633,0.333,True,True
16,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,28,2,16,16,0.633,0.333,True,True
17,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,100,3,17,17,0.633,0.333,True,True
18,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,101,1,18,18,0.633,0.333,True,True
19,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,102,2,19,19,0.633,0.333,True,True
20,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,31,3,20,20,0.633,0.333,True,True
21,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,32,4,21,21,0.633,0.333,True,True
22,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,33,8,22,22,0.633,0.333,True,False
23,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,34,39,23,23,0.633,0.333,True,False
24,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,36,3,24,24,0.633,0.333,True,True
25,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,37,2,25,25,0.633,0.333,True,True
26,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,38,7,26,26,0.633,0.333,True,True
27,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,39,3,27,27,0.633,0.333,True,True
28,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,40,1,28,28,0.633,0.333,True,True
29,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,128,5,29,29,0.633,0.333,True,True
30,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,1,4,30,30,0.84,0.8,True,False
31,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,3,16,31,31,0.84,0.8,True,False
32,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,5,3,32,32,0.84,0.8,True,True
33,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,12,5,33,33,0.84,0.8,True,False
34,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,13,34,34,34,0.84,0.8,True,False
35,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,232,11,35,35,0.84,0.8,True,False
36,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,233,15,36,36,0.84,0.8,True,False
37,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,234,5,37,37,0.84,0.8,True,False
38,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,235,6,38,38,0.84,0.8,True,False
39,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,439,236,3,39,39,0.84,0.8,True,True
40,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,17,2,40,40,0.84,0.8,True,True
41,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,20,3,41,41,0.84,0.8,True,True
42,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,21,2,42,42,0.84,0.8,True,True
