,SubjectID,AssignmentID,ProblemID,Attempts,pProblemSyntaxError,CorrectEventually,Label
0,04c32d4d95425f73b3a1d6502aed4d48,439.0,1,1,0.358,True,True
1,04c32d4d95425f73b3a1d6502aed4d48,439.0,3,2,0.404,True,True
2,04c32d4d95425f73b3a1d6502aed4d48,439.0,5,3,0.412,True,True
3,04c32d4d95425f73b3a1d6502aed4d48,439.0,12,1,0.326,True,True
4,04c32d4d95425f73b3a1d6502aed4d48,439.0,13,2,0.794,True,True
5,04c32d4d95425f73b3a1d6502aed4d48,439.0,232,11,0.688,True,False
6,04c32d4d95425f73b3a1d6502aed4d48,439.0,233,7,0.425,True,False
7,04c32d4d95425f73b3a1d6502aed4d48,439.0,234,7,0.524,True,False
8,04c32d4d95425f73b3a1d6502aed4d48,439.0,235,3,0.379,True,True
9,04c32d4d95425f73b3a1d6502aed4d48,439.0,236,2,0.518,True,True
10,04c32d4d95425f73b3a1d6502aed4d48,487.0,17,1,0.268,True,True
11,04c32d4d95425f73b3a1d6502aed4d48,487.0,20,2,0.413,True,True
12,04c32d4d95425f73b3a1d6502aed4d48,487.0,21,1,0.254,True,True
13,04c32d4d95425f73b3a1d6502aed4d48,487.0,22,6,0.559,True,False
14,04c32d4d95425f73b3a1d6502aed4d48,487.0,24,1,0.65,True,True
15,04c32d4d95425f73b3a1d6502aed4d48,487.0,25,9,0.545,True,False
16,04c32d4d95425f73b3a1d6502aed4d48,487.0,28,4,0.538,True,True
17,04c32d4d95425f73b3a1d6502aed4d48,487.0,100,18,0.667,True,False
18,04c32d4d95425f73b3a1d6502aed4d48,487.0,101,22,0.692,True,False
19,04c32d4d95425f73b3a1d6502aed4d48,487.0,102,45,0.756,True,False
20,04c32d4d95425f73b3a1d6502aed4d48,492.0,31,3,0.409,True,True
21,04c32d4d95425f73b3a1d6502aed4d48,492.0,32,37,0.586,True,False
22,04c32d4d95425f73b3a1d6502aed4d48,492.0,33,7,0.552,True,False
23,04c32d4d95425f73b3a1d6502aed4d48,492.0,34,30,0.563,True,False
24,04c32d4d95425f73b3a1d6502aed4d48,492.0,36,5,0.515,True,False
25,04c32d4d95425f73b3a1d6502aed4d48,492.0,37,28,0.528,True,False
26,04c32d4d95425f73b3a1d6502aed4d48,492.0,38,11,0.591,True,False
27,04c32d4d95425f73b3a1d6502aed4d48,492.0,39,13,0.478,True,False
28,04c32d4d95425f73b3a1d6502aed4d48,492.0,40,19,0.657,True,False
29,04c32d4d95425f73b3a1d6502aed4d48,492.0,128,16,0.509,True,False
30,0503bf609757acf2e75aa8cbc0d8323b,439.0,1,2,0.358,True,True
31,0503bf609757acf2e75aa8cbc0d8323b,439.0,3,4,0.404,True,True
32,0503bf609757acf2e75aa8cbc0d8323b,439.0,5,1,0.412,True,True
33,0503bf609757acf2e75aa8cbc0d8323b,439.0,12,1,0.326,True,True
34,0503bf609757acf2e75aa8cbc0d8323b,439.0,13,2,0.794,True,True
35,0503bf609757acf2e75aa8cbc0d8323b,439.0,232,5,0.688,True,True
36,0503bf609757acf2e75aa8cbc0d8323b,439.0,233,8,0.425,True,False
37,0503bf609757acf2e75aa8cbc0d8323b,439.0,234,3,0.524,True,True
38,0503bf609757acf2e75aa8cbc0d8323b,439.0,235,2,0.379,True,True
39,0503bf609757acf2e75aa8cbc0d8323b,439.0,236,2,0.518,True,True
