SubjectID,AssignmentID,ProblemID,Attempts,pProblemSyntaxError,pProblemSemanticError,pSubjectSyntaxError,pSubjectSemanticError,CorrectEventually,Label,pCorrectProblem,pMedian
04c32d4d95425f73b3a1d6502aed4d48,439,1,1,0.358,0.261,0.667,0.8,TRUE,TRUE,0.504424779,1
04c32d4d95425f73b3a1d6502aed4d48,439,3,2,0.404,0.462,0.667,0.8,TRUE,TRUE,0.391111111,2
04c32d4d95425f73b3a1d6502aed4d48,439,5,3,0.412,0.389,0.667,0.8,TRUE,TRUE,0.469026549,2
04c32d4d95425f73b3a1d6502aed4d48,439,12,1,0.326,0.121,0.667,0.8,TRUE,TRUE,0.602678571,1
04c32d4d95425f73b3a1d6502aed4d48,439,13,2,0.794,0.382,0.667,0.8,TRUE,TRUE,0.167381974,5
04c32d4d95425f73b3a1d6502aed4d48,439,232,11,0.688,0.307,0.667,0.8,TRUE,FALSE,0.277056277,3
04c32d4d95425f73b3a1d6502aed4d48,439,233,7,0.425,0.381,0.667,0.8,TRUE,FALSE,0.424778761,2
04c32d4d95425f73b3a1d6502aed4d48,439,234,7,0.524,0.317,0.667,0.8,TRUE,FALSE,0.365638767,2
04c32d4d95425f73b3a1d6502aed4d48,439,235,3,0.379,0.507,0.667,0.8,TRUE,TRUE,0.396475771,2
04c32d4d95425f73b3a1d6502aed4d48,439,236,2,0.518,0.319,0.667,0.8,TRUE,TRUE,0.39380531,2
04c32d4d95425f73b3a1d6502aed4d48,487,17,1,0.268,0.177,0.667,0.8,TRUE,TRUE,0.660287081,1
04c32d4d95425f73b3a1d6502aed4d48,487,20,2,0.413,0.567,0.667,0.8,TRUE,TRUE,0.326923077,3
04c32d4d95425f73b3a1d6502aed4d48,487,21,1,0.254,0.196,0.667,0.8,TRUE,TRUE,0.636363636,1
04c32d4d95425f73b3a1d6502aed4d48,487,22,6,0.559,0.275,0.667,0.8,TRUE,FALSE,0.397058824,2
04c32d4d95425f73b3a1d6502aed4d48,487,24,1,0.65,0.601,0.667,0.8,TRUE,TRUE,0.215246637,4
04c32d4d95425f73b3a1d6502aed4d48,487,25,9,0.545,0.592,0.667,0.8,TRUE,FALSE,0.303317536,3
04c32d4d95425f73b3a1d6502aed4d48,487,28,4,0.538,0.423,0.667,0.8,TRUE,TRUE,0.355769231,2
04c32d4d95425f73b3a1d6502aed4d48,487,100,18,0.667,0.306,0.667,0.8,TRUE,FALSE,0.300925926,2
04c32d4d95425f73b3a1d6502aed4d48,487,101,22,0.692,0.748,0.667,0.8,TRUE,FALSE,0.130841121,6
04c32d4d95425f73b3a1d6502aed4d48,487,102,45,0.756,0.598,0.667,0.8,TRUE,FALSE,0.205741627,6
04c32d4d95425f73b3a1d6502aed4d48,492,31,3,0.409,0.342,0.667,0.8,TRUE,TRUE,0.502222222,1
04c32d4d95425f73b3a1d6502aed4d48,492,32,37,0.586,0.359,0.667,0.8,TRUE,FALSE,0.368181818,3.5
04c32d4d95425f73b3a1d6502aed4d48,492,33,7,0.552,0.363,0.667,0.8,TRUE,FALSE,0.399103139,2
04c32d4d95425f73b3a1d6502aed4d48,492,34,30,0.563,0.441,0.667,0.8,TRUE,FALSE,0.389671362,2
04c32d4d95425f73b3a1d6502aed4d48,492,36,5,0.515,0.423,0.667,0.8,TRUE,FALSE,0.392070485,2
04c32d4d95425f73b3a1d6502aed4d48,492,37,28,0.528,0.386,0.667,0.8,TRUE,FALSE,0.386266094,2
04c32d4d95425f73b3a1d6502aed4d48,492,38,11,0.591,0.622,0.667,0.8,TRUE,FALSE,0.304347826,4
04c32d4d95425f73b3a1d6502aed4d48,492,39,13,0.478,0.473,0.667,0.8,TRUE,FALSE,0.415929204,2
04c32d4d95425f73b3a1d6502aed4d48,492,40,19,0.657,0.588,0.667,0.8,TRUE,FALSE,0.244635193,4
04c32d4d95425f73b3a1d6502aed4d48,492,128,16,0.509,0.457,0.667,0.8,TRUE,FALSE,0.417391304,2
0503bf609757acf2e75aa8cbc0d8323b,439,1,2,0.358,0.261,0.429,0.381,TRUE,TRUE,0.504424779,1
0503bf609757acf2e75aa8cbc0d8323b,439,3,4,0.404,0.462,0.429,0.381,TRUE,TRUE,0.391111111,2
0503bf609757acf2e75aa8cbc0d8323b,439,5,1,0.412,0.389,0.429,0.381,TRUE,TRUE,0.469026549,2
0503bf609757acf2e75aa8cbc0d8323b,439,12,1,0.326,0.121,0.429,0.381,TRUE,TRUE,0.602678571,1
0503bf609757acf2e75aa8cbc0d8323b,439,13,2,0.794,0.382,0.429,0.381,TRUE,TRUE,0.167381974,5
0503bf609757acf2e75aa8cbc0d8323b,439,232,5,0.688,0.307,0.429,0.381,TRUE,TRUE,0.277056277,3
0503bf609757acf2e75aa8cbc0d8323b,439,233,8,0.425,0.381,0.429,0.381,TRUE,FALSE,0.424778761,2
0503bf609757acf2e75aa8cbc0d8323b,439,234,3,0.524,0.317,0.429,0.381,TRUE,TRUE,0.365638767,2
0503bf609757acf2e75aa8cbc0d8323b,439,235,2,0.379,0.507,0.429,0.381,TRUE,TRUE,0.396475771,2
0503bf609757acf2e75aa8cbc0d8323b,439,236,2,0.518,0.319,0.429,0.381,TRUE,TRUE,0.39380531,2
0503bf609757acf2e75aa8cbc0d8323b,487,24,9,0.65,0.601,0.429,0.381,TRUE,FALSE,0.215246637,4
0503bf609757acf2e75aa8cbc0d8323b,492,31,1,0.409,0.342,0.429,0.381,TRUE,TRUE,0.502222222,1
0503bf609757acf2e75aa8cbc0d8323b,492,32,1,0.586,0.359,0.429,0.381,TRUE,TRUE,0.368181818,3.5
0503bf609757acf2e75aa8cbc0d8323b,492,33,1,0.552,0.363,0.429,0.381,TRUE,TRUE,0.399103139,2
0503bf609757acf2e75aa8cbc0d8323b,492,34,1,0.563,0.441,0.429,0.381,TRUE,TRUE,0.389671362,2
0503bf609757acf2e75aa8cbc0d8323b,492,36,1,0.515,0.423,0.429,0.381,TRUE,TRUE,0.392070485,2
0503bf609757acf2e75aa8cbc0d8323b,492,37,3,0.528,0.386,0.429,0.381,TRUE,TRUE,0.386266094,2
0503bf609757acf2e75aa8cbc0d8323b,492,38,1,0.591,0.622,0.429,0.381,TRUE,TRUE,0.304347826,4
0503bf609757acf2e75aa8cbc0d8323b,492,39,1,0.478,0.473,0.429,0.381,TRUE,TRUE,0.415929204,2
0503bf609757acf2e75aa8cbc0d8323b,492,40,11,0.657,0.588,0.429,0.381,TRUE,FALSE,0.244635193,4
0503bf609757acf2e75aa8cbc0d8323b,492,128,1,0.509,0.457,0.429,0.381,TRUE,TRUE,0.417391304,2
06d801cb636235b298c40029ad9921e7,439,1,2,0.358,0.261,0.6,0.4,TRUE,TRUE,0.504424779,1
06d801cb636235b298c40029ad9921e7,439,3,2,0.404,0.462,0.6,0.4,TRUE,TRUE,0.391111111,2
06d801cb636235b298c40029ad9921e7,439,5,31,0.412,0.389,0.6,0.4,TRUE,FALSE,0.469026549,2
06d801cb636235b298c40029ad9921e7,439,12,1,0.326,0.121,0.6,0.4,TRUE,TRUE,0.602678571,1
06d801cb636235b298c40029ad9921e7,439,13,6,0.794,0.382,0.6,0.4,TRUE,TRUE,0.167381974,5
06d801cb636235b298c40029ad9921e7,439,232,17,0.688,0.307,0.6,0.4,TRUE,FALSE,0.277056277,3
06d801cb636235b298c40029ad9921e7,439,233,1,0.425,0.381,0.6,0.4,TRUE,TRUE,0.424778761,2
06d801cb636235b298c40029ad9921e7,439,234,24,0.524,0.317,0.6,0.4,TRUE,FALSE,0.365638767,2
06d801cb636235b298c40029ad9921e7,439,235,22,0.379,0.507,0.6,0.4,TRUE,FALSE,0.396475771,2
06d801cb636235b298c40029ad9921e7,439,236,10,0.518,0.319,0.6,0.4,TRUE,FALSE,0.39380531,2
06d801cb636235b298c40029ad9921e7,492,31,1,0.409,0.342,0.6,0.4,TRUE,TRUE,0.502222222,1
06d801cb636235b298c40029ad9921e7,492,32,1,0.586,0.359,0.6,0.4,TRUE,TRUE,0.368181818,3.5
06d801cb636235b298c40029ad9921e7,492,33,1,0.552,0.363,0.6,0.4,TRUE,TRUE,0.399103139,2
06d801cb636235b298c40029ad9921e7,492,34,1,0.563,0.441,0.6,0.4,TRUE,TRUE,0.389671362,2
06d801cb636235b298c40029ad9921e7,492,36,2,0.515,0.423,0.6,0.4,TRUE,TRUE,0.392070485,2
06d801cb636235b298c40029ad9921e7,492,37,11,0.528,0.386,0.6,0.4,TRUE,FALSE,0.386266094,2
06d801cb636235b298c40029ad9921e7,492,38,5,0.591,0.622,0.6,0.4,TRUE,TRUE,0.304347826,4
06d801cb636235b298c40029ad9921e7,492,39,2,0.478,0.473,0.6,0.4,TRUE,TRUE,0.415929204,2
06d801cb636235b298c40029ad9921e7,492,40,7,0.657,0.588,0.6,0.4,TRUE,TRUE,0.244635193,4
06d801cb636235b298c40029ad9921e7,492,128,1,0.509,0.457,0.6,0.4,TRUE,TRUE,0.417391304,2
07ae4cca3f90a49347ccb5c1a82ff46f,439,1,1,0.358,0.261,0.233,0.133,TRUE,TRUE,0.504424779,1
07ae4cca3f90a49347ccb5c1a82ff46f,439,3,3,0.404,0.462,0.233,0.133,TRUE,TRUE,0.391111111,2
07ae4cca3f90a49347ccb5c1a82ff46f,439,5,1,0.412,0.389,0.233,0.133,TRUE,TRUE,0.469026549,2
07ae4cca3f90a49347ccb5c1a82ff46f,439,12,1,0.326,0.121,0.233,0.133,TRUE,TRUE,0.602678571,1
07ae4cca3f90a49347ccb5c1a82ff46f,439,13,10,0.794,0.382,0.233,0.133,TRUE,TRUE,0.167381974,5
07ae4cca3f90a49347ccb5c1a82ff46f,439,232,21,0.688,0.307,0.233,0.133,TRUE,FALSE,0.277056277,3
07ae4cca3f90a49347ccb5c1a82ff46f,439,233,2,0.425,0.381,0.233,0.133,TRUE,TRUE,0.424778761,2
07ae4cca3f90a49347ccb5c1a82ff46f,439,234,1,0.524,0.317,0.233,0.133,TRUE,TRUE,0.365638767,2
07ae4cca3f90a49347ccb5c1a82ff46f,439,235,5,0.379,0.507,0.233,0.133,TRUE,FALSE,0.396475771,2
07ae4cca3f90a49347ccb5c1a82ff46f,439,236,6,0.518,0.319,0.233,0.133,TRUE,FALSE,0.39380531,2
